Freq,Power,na,na,na
599911980,-63.2967224121094,0,0,0
599912230,-65.2721252441406,0,0,0
599912480,-67.1498413085937,0,0,0
599912730,-68.5343933105469,0,0,0
599912980,-69.8337478637695,0,0,0
599913230,-69.9772567749023,0,0,0
599913480,-68.4996337890625,0,0,0
599913730,-66.2956466674805,0,0,0
599913980,-64.6899642944336,0,0,0
599914230,-64.8655395507813,0,0,0
599914480,-66.2783279418945,0,0,0
599914730,-69.2111968994141,0,0,0
599914980,-71.5793609619141,0,0,0
599915230,-70.4248046875,0,0,0
599915480,-71.0564498901367,0,0,0
599915730,-73.7652053833008,0,0,0
599915980,-74.1168975830078,0,0,0
599916230,-66.009391784668,0,0,0
599916480,-62.9440078735352,0,0,0
599916730,-63.8664627075195,0,0,0
599916980,-68.1985549926758,0,0,0
599917230,-75.8730316162109,0,0,0
599917480,-85.0456695556641,0,0,0
599917730,-90.0974578857422,0,0,0
599917980,-77.0905075073242,0,0,0
599918230,-70.6289672851563,0,0,0
599918480,-67.8369369506836,0,0,0
599918730,-65.5126113891602,0,0,0
599918980,-63.3701133728027,0,0,0
599919230,-62.0720252990723,0,0,0
599919480,-61.8271751403809,0,0,0
599919730,-62.0438575744629,0,0,0
599919980,-62.4586448669434,0,0,0
599920230,-63.6107406616211,0,0,0
599920480,-66.7835388183594,0,0,0
599920730,-70.1461563110352,0,0,0
599920980,-67.7283935546875,0,0,0
599921230,-61.630931854248,0,0,0
599921480,-57.8252182006836,0,0,0
599921730,-56.2247734069824,0,0,0
599921980,-57.1934394836426,0,0,0
599922230,-62.2663040161133,0,0,0
599922480,-70.2127838134766,0,0,0
599922730,-72.6355438232422,0,0,0
599922980,-65.2302703857422,0,0,0
599923230,-60.7963256835938,0,0,0
599923480,-58.6566581726074,0,0,0
599923730,-58.1522064208984,0,0,0
599923980,-58.9117851257324,0,0,0
599924230,-60.1642837524414,0,0,0
599924480,-62.3942451477051,0,0,0
599924730,-68.2071838378906,0,0,0
599924980,-75.8408813476562,0,0,0
