Freq,Power,na,na,na
499911980,-73.9364166259766,0,0,0
499912230,-80.058837890625,0,0,0
499912480,-83.8697891235352,0,0,0
499912730,-75.0261840820313,0,0,0
499912980,-82.0445098876953,0,0,0
499913230,-76.2103500366211,0,0,0
499913480,-66.2509841918945,0,0,0
499913730,-60.7782249450684,0,0,0
499913980,-58.2640533447266,0,0,0
499914230,-56.9069328308105,0,0,0
499914480,-56.5236930847168,0,0,0
499914730,-57.748592376709,0,0,0
499914980,-61.1212844848633,0,0,0
499915230,-67.0951843261719,0,0,0
499915480,-70.2967910766602,0,0,0
499915730,-65.782585144043,0,0,0
499915980,-63.4018859863281,0,0,0
499916230,-62.4435729980469,0,0,0
499916480,-61.6719741821289,0,0,0
499916730,-61.1161956787109,0,0,0
499916980,-60.9911689758301,0,0,0
499917230,-61.4049644470215,0,0,0
499917480,-60.8936805725098,0,0,0
499917730,-59.0447769165039,0,0,0
499917980,-57.404541015625,0,0,0
499918230,-56.7583808898926,0,0,0
499918480,-57.9998245239258,0,0,0
499918730,-60.9556732177734,0,0,0
499918980,-64.2464447021484,0,0,0
499919230,-66.0803146362305,0,0,0
499919480,-68.6621856689453,0,0,0
499919730,-72.4922332763672,0,0,0
499919980,-79.1777572631836,0,0,0
499920230,-79.0041427612305,0,0,0
499920480,-73.8149719238281,0,0,0
499920730,-70.4817047119141,0,0,0
499920980,-68.7374572753906,0,0,0
499921230,-67.8780822753906,0,0,0
499921480,-69.0924224853516,0,0,0
499921730,-71.3004531860352,0,0,0
499921980,-69.0644073486328,0,0,0
499922230,-64.1437683105469,0,0,0
499922480,-62.0511322021484,0,0,0
499922730,-63.0169067382812,0,0,0
499922980,-68.6803970336914,0,0,0
499923230,-70.9757690429688,0,0,0
499923480,-67.7338790893555,0,0,0
499923730,-65.0285568237305,0,0,0
499923980,-66.3085327148437,0,0,0
499924230,-68.5042343139648,0,0,0
499924480,-69.2049407958984,0,0,0
499924730,-63.8053245544434,0,0,0
499924980,-59.4450569152832,0,0,0
499925230,-57.0004081726074,0,0,0
499925480,-57.3702278137207,0,0,0
499925730,-60.0293083190918,0,0,0
499925980,-64.4199905395508,0,0,0
499926230,-66.7321472167969,0,0,0
499926480,-67.2647171020508,0,0,0
499926730,-68.4365615844727,0,0,0
499926980,-68.7503814697266,0,0,0
499927230,-68.2979965209961,0,0,0
499927480,-66.8463668823242,0,0,0
499927730,-63.3789253234863,0,0,0
499927980,-60.4469566345215,0,0,0
499928230,-59.4792976379395,0,0,0
499928480,-60.2878952026367,0,0,0
499928730,-62.0985221862793,0,0,0
499928980,-63.7246513366699,0,0,0
499929230,-64.4687042236328,0,0,0
499929480,-64.8101959228516,0,0,0
499929730,-66.0617752075195,0,0,0
499929980,-69.1065826416016,0,0,0
499930230,-76.0980377197266,0,0,0
499930480,-73.6679382324219,0,0,0
499930730,-65.1818313598633,0,0,0
499930980,-61.3844375610352,0,0,0
499931230,-59.8923530578613,0,0,0
499931480,-60.5271987915039,0,0,0
499931730,-63.3604316711426,0,0,0
499931980,-69.5278015136719,0,0,0
499932230,-78.6926345825195,0,0,0
499932480,-79.9436264038086,0,0,0
499932730,-68.0319900512695,0,0,0
499932980,-64.8936462402344,0,0,0
499933230,-63.7765350341797,0,0,0
499933480,-64.4601516723633,0,0,0
499933730,-66.1113815307617,0,0,0
499933980,-67.1350708007813,0,0,0
499934230,-66.9466171264648,0,0,0
499934480,-66.4950790405273,0,0,0
499934730,-68.2301025390625,0,0,0
499934980,-73.9261169433594,0,0,0
499935230,-68.0574111938477,0,0,0
499935480,-62.5083312988281,0,0,0
499935730,-60.8600730895996,0,0,0
499935980,-61.9734001159668,0,0,0
499936230,-64.1511764526367,0,0,0
499936480,-65.8542251586914,0,0,0
499936730,-66.2507400512695,0,0,0
499936980,-66.7340240478516,0,0,0
499937230,-66.2330169677734,0,0,0
499937480,-64.3619079589844,0,0,0
499937730,-61.9939041137695,0,0,0
499937980,-60.5076103210449,0,0,0
499938230,-59.6629409790039,0,0,0
499938480,-59.3416519165039,0,0,0
499938730,-60.4902763366699,0,0,0
499938980,-64.6626586914062,0,0,0
499939230,-72.1141128540039,0,0,0
499939480,-75.7264175415039,0,0,0
499939730,-64.7461700439453,0,0,0
499939980,-61.6653251647949,0,0,0
499940230,-59.4211082458496,0,0,0
499940480,-58.3381233215332,0,0,0
499940730,-58.9912185668945,0,0,0
499940980,-61.4931907653809,0,0,0
499941230,-66.9723434448242,0,0,0
499941480,-76.0285263061523,0,0,0
499941730,-69.6596832275391,0,0,0
499941980,-65.8292465209961,0,0,0
499942230,-66.5770721435547,0,0,0
499942480,-74.5206069946289,0,0,0
499942730,-80.4414215087891,0,0,0
499942980,-73.815803527832,0,0,0
499943230,-70.3725433349609,0,0,0
499943480,-69.8355255126953,0,0,0
499943730,-68.0763397216797,0,0,0
499943980,-66.1282424926758,0,0,0
499944230,-65.5068435668945,0,0,0
499944480,-67.2817459106445,0,0,0
499944730,-70.7708587646484,0,0,0
499944980,-75.7083358764648,0,0,0
499945230,-74.9381713867188,0,0,0
499945480,-67.8479614257813,0,0,0
499945730,-62.0494499206543,0,0,0
499945980,-59.301342010498,0,0,0
499946230,-58.552417755127,0,0,0
499946480,-59.9743576049805,0,0,0
499946730,-64.4431533813477,0,0,0
499946980,-77.8377838134766,0,0,0
499947230,-74.3204956054688,0,0,0
499947480,-70.8835983276367,0,0,0
499947730,-73.6371307373047,0,0,0
499947980,-72.7134552001953,0,0,0
499948230,-68.0725479125977,0,0,0
499948480,-63.8485374450684,0,0,0
499948730,-61.9562110900879,0,0,0
499948980,-62.9643440246582,0,0,0
499949230,-65.4533767700195,0,0,0
499949480,-66.3090591430664,0,0,0
499949730,-64.1491546630859,0,0,0
499949980,-62.2795333862305,0,0,0
499950230,-62.5425262451172,0,0,0
499950480,-64.6921768188477,0,0,0
499950730,-71.8177185058594,0,0,0
499950980,-75.9546737670898,0,0,0
499951230,-72.4780349731445,0,0,0
499951480,-65.2182235717773,0,0,0
499951730,-62.4950790405273,0,0,0
499951980,-61.6974868774414,0,0,0
499952230,-66.0055770874023,0,0,0
499952480,-71.5477142333984,0,0,0
499952730,-68.3034896850586,0,0,0
499952980,-59.5316734313965,0,0,0
499953230,-57.6717643737793,0,0,0
499953480,-57.1148338317871,0,0,0
499953730,-57.4977416992188,0,0,0
499953980,-59.2847595214844,0,0,0
499954230,-66.6907043457031,0,0,0
499954480,-69.5256729125977,0,0,0
499954730,-64.3901748657227,0,0,0
499954980,-61.7936706542969,0,0,0
499955230,-65.5021057128906,0,0,0
499955480,-67.8537292480469,0,0,0
499955730,-62.6254463195801,0,0,0
499955980,-59.1872978210449,0,0,0
499956230,-59.5615272521973,0,0,0
499956480,-61.0838050842285,0,0,0
499956730,-62.5682601928711,0,0,0
499956980,-63.9132232666016,0,0,0
499957230,-59.9207344055176,0,0,0
499957480,-54.7592163085938,0,0,0
499957730,-50.733715057373,0,0,0
499957980,-48.135799407959,0,0,0
499958230,-46.4033432006836,0,0,0
499958480,-45.354362487793,0,0,0
499958730,-45.5004653930664,0,0,0
499958980,-47.019416809082,0,0,0
499959230,-50.0576362609863,0,0,0
499959480,-50.3730659484863,0,0,0
499959730,-47.520694732666,0,0,0
499959980,-44.5147361755371,0,0,0
499960230,-43.140739440918,0,0,0
499960480,-42.9509086608887,0,0,0
499960730,-44.1977920532227,0,0,0
499960980,-39.6386947631836,0,0,0
499961230,-32.3293151855469,0,0,0
499961480,-26.5861377716064,0,0,0
499961730,-23.7549858093262,0,0,0
499961980,-23.2817649841309,0,0,0
499962230,-26.0057773590088,0,0,0
499962480,-31.9647274017334,0,0,0
499962730,-40.8508949279785,0,0,0
499962980,-45.1465377807617,0,0,0
499963230,-44.1151885986328,0,0,0
499963480,-45.3538017272949,0,0,0
499963730,-48.123908996582,0,0,0
499963980,-53.8329925537109,0,0,0
499964230,-53.7782974243164,0,0,0
499964480,-49.6995429992676,0,0,0
499964730,-46.0482635498047,0,0,0
499964980,-45.0677223205566,0,0,0
499965230,-45.6696701049805,0,0,0
499965480,-47.4551429748535,0,0,0
499965730,-50.3397560119629,0,0,0
499965980,-55.0458908081055,0,0,0
499966230,-58.1490707397461,0,0,0
499966480,-57.4239883422852,0,0,0
499966730,-54.6799964904785,0,0,0
499966980,-54.5067939758301,0,0,0
499967230,-56.032901763916,0,0,0
499967480,-57.0595054626465,0,0,0
499967730,-57.8789329528809,0,0,0
499967980,-59.0367088317871,0,0,0
499968230,-60.7820701599121,0,0,0
499968480,-62.7958946228027,0,0,0
499968730,-64.2781372070312,0,0,0
499968980,-64.5008697509766,0,0,0
499969230,-63.4852867126465,0,0,0
499969480,-60.5119667053223,0,0,0
499969730,-57.6248664855957,0,0,0
499969980,-56.3290100097656,0,0,0
499970230,-56.6567916870117,0,0,0
499970480,-58.1174430847168,0,0,0
499970730,-60.4293975830078,0,0,0
499970980,-66.4043350219727,0,0,0
499971230,-71.5624465942383,0,0,0
499971480,-68.598388671875,0,0,0
499971730,-61.4855690002441,0,0,0
499971980,-60.6383094787598,0,0,0
499972230,-61.9737548828125,0,0,0
499972480,-65.2442626953125,0,0,0
499972730,-69.7093048095703,0,0,0
499972980,-73.3857269287109,0,0,0
499973230,-74.133415222168,0,0,0
499973480,-71.4046325683594,0,0,0
499973730,-67.2609939575195,0,0,0
499973980,-65.8908309936523,0,0,0
499974230,-66.5462036132813,0,0,0
499974480,-66.7433547973633,0,0,0
499974730,-65.9982452392578,0,0,0
499974980,-65.5737457275391,0,0,0
499975230,-67.7811584472656,0,0,0
499975480,-72.3919219970703,0,0,0
499975730,-71.3440780639648,0,0,0
499975980,-68.2530670166016,0,0,0
499976230,-69.5514144897461,0,0,0
499976480,-74.1512680053711,0,0,0
499976730,-73.3957824707031,0,0,0
499976980,-65.0537338256836,0,0,0
499977230,-62.5025329589844,0,0,0
499977480,-62.9565010070801,0,0,0
499977730,-65.1155319213867,0,0,0
499977980,-64.3896865844727,0,0,0
499978230,-62.3601837158203,0,0,0
499978480,-61.6461143493652,0,0,0
499978730,-64.5596771240234,0,0,0
499978980,-68.9930572509766,0,0,0
