Freq,Power,na,na,na
699910986,-60.341667175293,0,0,0
699911236,-66.2254791259766,0,0,0
699911486,-77.4481430053711,0,0,0
699911736,-69.8774032592773,0,0,0
699911986,-66.9128036499023,0,0,0
699912236,-65.5415115356445,0,0,0
699912486,-64.3733673095703,0,0,0
699912736,-63.3518333435059,0,0,0
699912986,-62.9004821777344,0,0,0
699913236,-63.4200248718262,0,0,0
699913486,-66.3080444335937,0,0,0
699913736,-76.4231567382813,0,0,0
699913986,-76.3644027709961,0,0,0
699914236,-74.2438201904297,0,0,0
699914486,-78.5548477172852,0,0,0
699914736,-76.2042617797852,0,0,0
699914986,-71.1123580932617,0,0,0
699915236,-70.0380325317383,0,0,0
699915486,-70.4568634033203,0,0,0
699915736,-72.9578247070312,0,0,0
699915986,-72.70263671875,0,0,0
699916236,-68.2064743041992,0,0,0
699916486,-64.2443313598633,0,0,0
699916736,-62.8107490539551,0,0,0
699916986,-61.989917755127,0,0,0
699917236,-60.4921760559082,0,0,0
699917486,-58.8404922485352,0,0,0
699917736,-57.775505065918,0,0,0
699917986,-58.0445251464844,0,0,0
699918236,-59.3261909484863,0,0,0
699918486,-61.0151062011719,0,0,0
699918736,-61.1125221252441,0,0,0
699918986,-59.2698822021484,0,0,0
699919236,-57.1929740905762,0,0,0
699919486,-56.3988838195801,0,0,0
699919736,-57.6829528808594,0,0,0
699919986,-61.421501159668,0,0,0
699920236,-68.4257278442383,0,0,0
699920486,-76.2068405151367,0,0,0
699920736,-73.1863861083984,0,0,0
699920986,-68.2616348266602,0,0,0
699921236,-66.3211135864258,0,0,0
699921486,-65.7004776000977,0,0,0
699921736,-67.2444305419922,0,0,0
699921986,-73.6029281616211,0,0,0
699922236,-76.7148895263672,0,0,0
699922486,-74.9012908935547,0,0,0
699922736,-72.7071838378906,0,0,0
699922986,-70.5502166748047,0,0,0
699923236,-65.8916854858398,0,0,0
699923486,-62.4028205871582,0,0,0
699923736,-60.2595748901367,0,0,0
699923986,-59.8302154541016,0,0,0
699924236,-61.571361541748,0,0,0
699924486,-64.9669647216797,0,0,0
699924736,-68.9345626831055,0,0,0
699924986,-71.6611557006836,0,0,0
699925236,-71.6195297241211,0,0,0
699925486,-70.7165756225586,0,0,0
699925736,-70.4953918457031,0,0,0
699925986,-69.7235260009766,0,0,0
699926236,-67.5077590942383,0,0,0
699926486,-65.5898284912109,0,0,0
699926736,-64.7781219482422,0,0,0
699926986,-62.7662506103516,0,0,0
699927236,-59.5585517883301,0,0,0
699927486,-57.4505500793457,0,0,0
699927736,-57.855598449707,0,0,0
699927986,-60.6572265625,0,0,0
699928236,-66.3140640258789,0,0,0
699928486,-73.2844390869141,0,0,0
699928736,-72.8477249145508,0,0,0
699928986,-71.2180633544922,0,0,0
699929236,-68.4316787719727,0,0,0
699929486,-67.4771041870117,0,0,0
699929736,-71.0362396240234,0,0,0
699929986,-75.0750350952148,0,0,0
699930236,-70.7246932983398,0,0,0
699930486,-67.5645065307617,0,0,0
699930736,-65.2853240966797,0,0,0
699930986,-64.3483963012695,0,0,0
699931236,-64.8812713623047,0,0,0
699931486,-65.9371337890625,0,0,0
699931736,-66.278076171875,0,0,0
699931986,-65.7241287231445,0,0,0
699932236,-66.6752853393555,0,0,0
699932486,-73.4364624023437,0,0,0
699932736,-77.0846633911133,0,0,0
699932986,-86.7104034423828,0,0,0
699933236,-89.375617980957,0,0,0
699933486,-67.7176361083984,0,0,0
699933736,-64.6836776733398,0,0,0
699933986,-66.1951522827148,0,0,0
699934236,-69.3570404052734,0,0,0
699934486,-69.0923233032227,0,0,0
699934736,-67.7722473144531,0,0,0
699934986,-67.8457870483398,0,0,0
699935236,-67.8614349365234,0,0,0
699935486,-66.4517822265625,0,0,0
699935736,-65.9511642456055,0,0,0
699935986,-72.3865737915039,0,0,0
699936236,-72.2607421875,0,0,0
699936486,-66.6772613525391,0,0,0
699936736,-63.6409339904785,0,0,0
699936986,-65.9460906982422,0,0,0
699937236,-70.7400054931641,0,0,0
699937486,-69.2919235229492,0,0,0
699937736,-67.2829360961914,0,0,0
699937986,-66.69482421875,0,0,0
699938236,-67.8741836547852,0,0,0
699938486,-69.1100082397461,0,0,0
699938736,-69.6889572143555,0,0,0
699938986,-71.2014236450195,0,0,0
699939236,-73.1919250488281,0,0,0
699939486,-73.8499755859375,0,0,0
699939736,-73.4897384643555,0,0,0
699939986,-73.0094299316406,0,0,0
699940236,-72.1396560668945,0,0,0
699940486,-68.9399871826172,0,0,0
699940736,-65.7314682006836,0,0,0
699940986,-63.6989135742188,0,0,0
699941236,-63.0299987792969,0,0,0
699941486,-64.1301040649414,0,0,0
699941736,-66.5685272216797,0,0,0
699941986,-69.094352722168,0,0,0
699942236,-70.0225143432617,0,0,0
699942486,-69.354377746582,0,0,0
699942736,-66.9638290405273,0,0,0
699942986,-66.0640335083008,0,0,0
699943236,-67.4843063354492,0,0,0
699943486,-68.4901657104492,0,0,0
699943736,-67.3798675537109,0,0,0
699943986,-68.0150680541992,0,0,0
699944236,-72.5820770263672,0,0,0
699944486,-77.425651550293,0,0,0
699944736,-76.589714050293,0,0,0
699944986,-74.9189147949219,0,0,0
699945236,-78.8423919677734,0,0,0
699945486,-81.8348693847656,0,0,0
699945736,-73.4540634155273,0,0,0
699945986,-70.2389221191406,0,0,0
699946236,-71.1087417602539,0,0,0
699946486,-77.2201614379883,0,0,0
699946736,-79.1556396484375,0,0,0
699946986,-72.0722885131836,0,0,0
699947236,-66.8340072631836,0,0,0
699947486,-64.8001861572266,0,0,0
699947736,-64.5687713623047,0,0,0
699947986,-64.6142272949219,0,0,0
699948236,-64.6541976928711,0,0,0
699948486,-65.7185287475586,0,0,0
699948736,-70.0407638549805,0,0,0
699948986,-78.5569305419922,0,0,0
699949236,-77.5969772338867,0,0,0
699949486,-80.8214721679688,0,0,0
699949736,-72.9417724609375,0,0,0
699949986,-65.3306350708008,0,0,0
699950236,-64.2252807617188,0,0,0
699950486,-66.0137634277344,0,0,0
699950736,-68.5896224975586,0,0,0
699950986,-69.4156265258789,0,0,0
699951236,-69.8114471435547,0,0,0
699951486,-69.6170883178711,0,0,0
699951736,-68.6206970214844,0,0,0
699951986,-68.7590942382812,0,0,0
699952236,-70.8744659423828,0,0,0
699952486,-77.364990234375,0,0,0
699952736,-82.0046005249023,0,0,0
699952986,-77.3475952148437,0,0,0
699953236,-72.8286972045898,0,0,0
699953486,-69.6635818481445,0,0,0
699953736,-66.8906173706055,0,0,0
699953986,-65.8683929443359,0,0,0
699954236,-65.758544921875,0,0,0
699954486,-65.5712585449219,0,0,0
699954736,-65.5186538696289,0,0,0
699954986,-66.1175003051758,0,0,0
699955236,-66.7405624389648,0,0,0
699955486,-66.5807113647461,0,0,0
699955736,-66.7496795654297,0,0,0
699955986,-67.8539199829102,0,0,0
699956236,-68.3162155151367,0,0,0
699956486,-66.4093627929688,0,0,0
699956736,-63.8902893066406,0,0,0
699956986,-66.3681106567383,0,0,0
699957236,-70.7042694091797,0,0,0
699957486,-67.2186050415039,0,0,0
699957736,-60.8147277832031,0,0,0
699957986,-59.2077522277832,0,0,0
699958236,-59.3809661865234,0,0,0
699958486,-61.2797737121582,0,0,0
699958736,-64.0932235717773,0,0,0
699958986,-63.6452331542969,0,0,0
699959236,-54.5550346374512,0,0,0
699959486,-51.258861541748,0,0,0
699959736,-50.6956825256348,0,0,0
699959986,-53.1036415100098,0,0,0
699960236,-64.1243209838867,0,0,0
699960486,-73.0049209594727,0,0,0
699960736,-63.3637809753418,0,0,0
699960986,-47.5489311218262,0,0,0
699961236,-36.931224822998,0,0,0
699961486,-30.5680294036865,0,0,0
699961736,-27.4595260620117,0,0,0
699961986,-26.9289703369141,0,0,0
699962236,-29.3311309814453,0,0,0
699962486,-34.1969032287598,0,0,0
699962736,-41.7564926147461,0,0,0
699962986,-51.3315620422363,0,0,0
699963236,-59.4291381835938,0,0,0
699963486,-61.0937004089355,0,0,0
699963736,-57.3994560241699,0,0,0
699963986,-53.1668739318848,0,0,0
699964236,-52.4123229980469,0,0,0
699964486,-55.0508041381836,0,0,0
699964736,-63.0486640930176,0,0,0
699964986,-62.0289077758789,0,0,0
699965236,-57.9399375915527,0,0,0
699965486,-55.6164932250977,0,0,0
699965736,-55.5079154968262,0,0,0
699965986,-57.1060256958008,0,0,0
699966236,-58.9528121948242,0,0,0
699966486,-59.2740364074707,0,0,0
699966736,-59.2129325866699,0,0,0
699966986,-60.0502052307129,0,0,0
699967236,-61.5594940185547,0,0,0
699967486,-62.3948554992676,0,0,0
699967736,-61.6129341125488,0,0,0
699967986,-60.7759056091309,0,0,0
699968236,-60.608211517334,0,0,0
699968486,-61.1820907592773,0,0,0
699968736,-61.6581420898438,0,0,0
699968986,-62.1508941650391,0,0,0
699969236,-63.6291389465332,0,0,0
699969486,-66.7487030029297,0,0,0
699969736,-66.8593063354492,0,0,0
699969986,-64.8575897216797,0,0,0
699970236,-64.0137023925781,0,0,0
699970486,-64.9919052124023,0,0,0
